# mapping_set_id: https://doi.org/10.17605/OSF.IO/ZKAVC
# mapping_set_title: Observational Study Data Elements to Target Ontology Mappings
# mapping_set_version: 1.0.0
# mapping_date: 2026-03-03
# license: https://creativecommons.org/licenses/by/4.0/
# object_source: multiple
# comment: |
#   object sources:
#     HeNeCOn: https://bioportal.bioontology.org/ontologies/HENECON
#     O3: https://aapmbdsc.azurewebsites.net/Upload/O3_20250128.json
#     OMOP: https://athena.ohdsi.org/search-terms/terms/
#     mCODE: https://github.com/HL7/fhir-mCODE-ig/blob/master/data-dictionary/mCODEDataDictionary-STU4.json
#   mcode_r4 prefix links to https://hl7.org/fhir/R4/Resource.html#Resource.element for Resource.element local part
# curie_map:
#   study: "https://doi.org/10.17605/OSF.IO/ZKAVC#"
#   henecon: "http://ontology.lst.tfo.upm.es/BD2D#"
#   henecon_chemo: "http://ontology.lst.tfo.upm.es/BD2D/chemo#"
#   henecon_clinical: "http://ontology.lst.tfo.upm.es/BD2D/clinical#"
#   henecon_ctn: "http://ontology.lst.tfo.upm.es/BD2D/ctn#"
#   henecon_follow: "http://ontology.lst.tfo.upm.es/BD2D/follow#"
#   henecon_img: "http://ontology.lst.tfo.upm.es/BD2D/img#"
#   henecon_patho: "http://ontology.lst.tfo.upm.es/BD2D/patho#"
#   henecon_patient: "http://ontology.lst.tfo.upm.es/BD2D/patient#"
#   henecon_hrs: "http://ontology.lst.tfo.upm.es/BD2D/population/HRS#"
#   henecon_hrschemo: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSchemo#"
#   henecon_hrsclinical: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSclinical#"
#   henecon_hrsctn: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSctn#"
#   henecon_hrspatho: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSpatho#"
#   henecon_hrsradio: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSradio#"
#   henecon_hrssurge: "http://ontology.lst.tfo.upm.es/BD2D/population/HRSsurge#"
#   henecon_ps: "http://ontology.lst.tfo.upm.es/BD2D/population/PS#"
#   henecon_psclinical: "http://ontology.lst.tfo.upm.es/BD2D/population/PSclinical#"
#   henecon_psctn: "http://ontology.lst.tfo.upm.es/BD2D/population/PSctn#"
#   henecon_pspatho: "http://ontology.lst.tfo.upm.es/BD2D/population/PSpatho#"
#   henecon_pst1: "http://ontology.lst.tfo.upm.es/BD2D/population/PSt1#"
#   henecon_pst2: "http://ontology.lst.tfo.upm.es/BD2D/population/PSt2#"
#   henecon_pst3: "http://ontology.lst.tfo.upm.es/BD2D/population/PSt3#"
#   henecon_pst4: "http://ontology.lst.tfo.upm.es/BD2D/population/PSt4#"
#   henecon_pst5: "http://ontology.lst.tfo.upm.es/BD2D/population/PSt5#"
#   henecon_qol: "http://ontology.lst.tfo.upm.es/BD2D/qol#"
#   henecon_radio: "http://ontology.lst.tfo.upm.es/BD2D/radio#"
#   henecon_risk: "http://ontology.lst.tfo.upm.es/BD2D/risk#"
#   henecon_surge: "http://ontology.lst.tfo.upm.es/BD2D/surge#"
#   henecon_tox: "http://ontology.lst.tfo.upm.es/BD2D/tox#"
#   neomark: "http://neomark.owl#"
#   Ontology1325521724189: "http://www.semanticweb.org/ontologies/2012/0/Ontology1325521724189.owl#"
#   o3: "http://example.org/O3_20250128.owl#"
#   omop: "https://athena.ohdsi.org/search-terms/terms/"
#   mcode_r4: "https://hl7.org/fhir/R4/"
#   mcode: "http://hl7.org/fhir/us/mcode/StructureDefinition/"
#   mcode_valueset: "http://hl7.org/fhir/us/mcode/ValueSet/"
#   snomedct: "http://snomed.info/id/"
#   loinc: "http://loinc.org/"
#   rxnorm: "http://purl.bioontology.org/ontology/RXNORM/"
#   semapv: "https://w3id.org/semapv/vocab/"
#   skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	mapping_justification	comment
study:additional_ultrasound_of_the_neck	additional ultrasound of the neck	skos:relatedMatch	henecon_img:Image_Site	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:additional_ultrasound_of_the_neck	additional ultrasound of the neck	skos:relatedMatch	henecon_img:Image_Type	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:additional_ultrasound_of_the_neck	additional ultrasound of the neck	skos:relatedMatch	o3:DiagStaging_ImagingBiopsy	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:additional_ultrasound_of_the_neck	additional ultrasound of the neck	skos:relatedMatch	o3:Image_Type	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:additional_ultrasound_of_the_neck	additional ultrasound of the neck	skos:relatedMatch	omop:4083108	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	henecon_clinical:Date_of_first_Diagnosis	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	henecon_hrsclinical:Date_of_Diagnose	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	henecon_psclinical:Date_of_Diagnosis	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	o3:PatientEncounter_DateOfRecord	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	o3:PatientEncounter_DepartmentCategorization	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	o3:DiagStagingHN_DateOfRecord	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	omop:32893	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	omop:38004507	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	omop:38004508	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	omop:38004509	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:assessment_of_stage	assessment of stage	skos:relatedMatch	mcode_r4:Condition.stage.assessment	semapv:ManualMappingCuration	domain=diagnosis; category=['one oncologist, two oncologists']; measurement=['frequency']; unit=[]
study:biopsy_or_aspiration_of_regional_lymph_node	biopsy or aspiration of regional lymph node	skos:relatedMatch	henecon_patho:Tissue_Type@@2	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:biopsy_or_aspiration_of_regional_lymph_node	biopsy or aspiration of regional lymph node	skos:relatedMatch	henecon_surge:Kind_of_Left_Neck_Dissection@@4	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:biopsy_or_aspiration_of_regional_lymph_node	biopsy or aspiration of regional lymph node	skos:relatedMatch	henecon_surge:Kind_of_Right_Neck_Dissection@@4	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:biopsy_or_aspiration_of_regional_lymph_node	biopsy or aspiration of regional lymph node	skos:relatedMatch	o3:DiagStagingHN_LocationOfBiopsyAtDiagnosis	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:biopsy_or_aspiration_of_regional_lymph_node	biopsy or aspiration of regional lymph node	skos:relatedMatch	omop:4071443	semapv:ManualMappingCuration	domain=diagnosis; category=['yes']; measurement=['frequency']; unit=[]
study:biopsy_reassessed_in	biopsy reassessed in	skos:relatedMatch	henecon_patho:Tissue_Type@@2	semapv:ManualMappingCuration	domain=diagnosis; category=['local hospital only, university centre only, both hospitals']; measurement=['frequency']; unit=[]
study:biopsy_reassessed_in	biopsy reassessed in	skos:relatedMatch	henecon_hrsclinical:Hospital_of_Diagnose	semapv:ManualMappingCuration	domain=diagnosis; category=['local hospital only, university centre only, both hospitals']; measurement=['frequency']; unit=[]
